ID,Difficulty,Question,A,B,C,D,E,Type,Group
317, Hard,"A marketing team wants to create an automation that can take a population, evaluate its subscriber data, and send a series of emails. The emails received may vary based on each subscriber's engagement with previous emails in the automation. Which tool is best suited for a team with no SQL knowledge or support?",Predictive email  ,Automation studio ,Journey builder ,Scheduled email sends , ,CHOICE,Marketing Cloud
318, Easy,A digital marketing team noticed an increase in unsubscribes and would like to implement a mechanism as an alternative to unsubscribing from all sends. The team currently uses data extension for sending emails. Which tool should they use?,Suppression lists ,Profile attributes ,Publication lists  ,List unsubscribe , ,CHOICE,Marketing Cloud
319, Easy,A customer wants to automate nightly imports and also have the ability to manually import files via the import wizard.What needs to be configured in the marketing cloud account?,Data loader ,Enhanced FTP  ,Encrypted FTP ,File transfer , ,CHOICE,Marketing Cloud
320, Easy,NTO is having its annual footwear sale. NTO wants to top its revenue from last year's sale. The campaign last year was a series of emails targeting NTO customers who expresses a specific interest in footwear. Which additional tactic should improve on NTO's targeted segmentation?,Images of products that the customer has previously purchased ,Content focused on winter sports items for holiday shopping ,Full-width lifestyle imagery featuring attractive people ,Personalized imagery influenced by subscriber preferences  , ,CHOICE,Marketing Cloud
321, Easy,"A new data extension named ""Orders"" contains order data. One row is recorded for each customer's order. Customers can place multiple orders. The data extension Orders relates to other data extensions.The data extension Orders contains the following fields:OrderNumber: a unique alphanumeric order numbercustomerID: a numeric customer identification numberOrderDate: the system date and time for the orderInstructions: an optional alphanumeric string that contains customer delivery notesWhich statement accurately reflects the configuration of the Orders Data Extension?",The OrderNumber field will be a Number data type field ,All fields in the data extension are nullable ,customerID will be used as the Primary Key ,OrderNumber will be used as the Primary Key  , ,CHOICE,Marketing Cloud
322, Hard,Northern Trail Outfitters is looking at using Journey Builder rather than Automation Studio to send emails. What are the three benefits of using Journey Builder? Choose 3 answers.,Criteria setting to segment contacts based on behaviour using SQL. ,Extracting data from an Audience data extension for analysis. ,Goal setting to have the system listen to see if users met the goal. ,A/B/N testing as part of the workflow to conduct timing and creative tests. ,Updating or creating Salesforce CRM objects or records. ,CHECKBOX,Marketing Cloud
323, Easy,"Northern Trail Outfitters would like to use a File Drop Starting Source in Automation Studio to send shipping tracking emails when orders are dispatched. A delimited text file containing all the data for the send will be uploaded to a designated directory on the Enhanced FTP Account, and the email should be sent to customers when the file transfer has completed.What is the correct sequence of Activities for this File Drop Starting Source?",File Transfer Activity > Send Email ,File Transfer Activity > Import File Activity > Send Email  ,Import File Activity > File Transfer Activity > Send Email ,Import File Activity > Send Email , ,CHOICE,Marketing Cloud
324, Easy,"Northern Trail Outfitters (NTO) plans to launch an email campaign. They have two data extensions. The Mountain Manor Campaign data extension will contain the sending audience for this campaign and includes fields for Email Address, Full Name, Loyalty Member ID, and Loyalty Member Status. NTO will be using AMPscript to reference data in a second, nonsendable data extension named Loyalty Member.Which field on the Mountain Manor Campaign data extension should be created as a Primary Key to create unique relationships with the Loyalty Member Profile data extension?",Loyalty Member ID  ,Email Address ,Full Name ,Loyalty Member Status , ,CHOICE,Marketing Cloud
325, Easy,"An email marketing team is setting up a campaign to message customers who register for an event. The registration data is being gathered in another system and will be passed to Market Cloud daily, and updates made to the customers' registration information will be reflected in the same file.How should the import of event registration data be configured?",Use the Import Activity to overwrite the records in the data extension.  ,Use the Import Activity to add new records into the data extension. ,Use the Import Wizard to overwrite the records in the data extension. ,Use the Import Wizard to add new records into the data extension. , ,CHOICE,Marketing Cloud
326, Easy,"A national landscaping company wants to send targeted emails to customers to remind them of their upcoming lawn treatment. Depending on the service, customers will receive either one or two emails. The data for the campaign is in two separate data extensions. Customer Number is a Primary Key field in both data extensions. Which two tools could be used to segment the data?",Filters ,Send Definition ,Data Extract Activity ,SQL Query Activity , ,CHECKBOX,Marketing Cloud
327, Easy,A marketer sends an email to a sendable data extension that contains a Customer_ID field with a numeric data type that relates to the Subscriber Key on the All Subscribers List as a Send Relationship. Which two statements are correct about the email send behaviour for any subscriber who currently does NOT exist on the All Subscribers List?,"If the Customer_ID field does not exist on the All Subscribers List, the email send will fail. ",The email address and Subscriber Key will be added to the All Subscribers List. ,The Primary Key and demographic data will be added to the All Subscribers List. ,The subscriber will be added to the All Subscribers List with a status of Active. , ,CHECKBOX,Marketing Cloud
328, Hard,"A marketer would like to automate a weekly email campaign using Automation Studio. The marketer needs to preconfigure the email, so a colleague can set up the automation at a later date.How should the customer prepare this email for sending?",Test Send ,Send Preview ,Content Builder ,Send Email  , ,CHOICE,Marketing Cloud
329, Easy,"A marketing team has switched from the Classic Editor to Content Builder in Email Studio. All images, content blocks, and emails were saved in one folder.How should these saved items be found in Content Builder?",Add tags to each piece of content ,Rename content to be alphabetical ,Create folders and move content  ,Filter based on content type , ,CHOICE,Marketing Cloud
330, Easy,Northern Trail Outfitters (NTO) has planned cross-channel marketing efforts based on how a subscriber responds to an email and when they last purchased. NTO is evaluating both Automation Studio and Journey Builder for its campaigns and are leaning towards Journey Builder due to the available Activities. Which three standard Canvas Activities are available in Journey Builder?Choose 3 answers.,SQL Query Activity ,Decision Split ,Wait ,Send SMS ,Post to Facebook ,CHECKBOX,Marketing Cloud
331, Easy,"A 15-person management team wants to review test emails built in Email Studio prior to live deployment based on content that is personalized for them but is clearly noted as a test email.What is the safest, most effective way for a marketer to accomplish this task without compromising the email content?","Create a list composed of the management team, prepend “Test” to the Subject, and use the Send Flow to send the email to the list.  ","Create a data extension composed of the management team, create a User-Initiated Send Definition, select the email, prepend “Test” to the Subject, select the data extension, and send the email. ",Create a Test data extension composed of the management team and Test Send to the Test data extension. ,Find each individual with Subscriber Preview and Test Send to each individual Recipient. , ,CHOICE,Marketing Cloud
332, Easy,Northern Trail Outfitters sent three different emails as part of a seasonal campaign and would like to compare the open and click-through rates across the emails.Which feature will enable this?,Include Measures within a Filter ,Email Send Report ,Email Comparison Report ,Compare Email Sends on the Tracking page  , ,CHOICE,Marketing Cloud
333, Easy,A local craft store is implementing the Marketing Cloud and will be using Lists to store their subscriber data. Which two types of data can subscribers easily update via the default Profile Center?,Email Address ,Order History ,Data Extension Fields ,List Attributes , ,CHECKBOX,Marketing Cloud
334, Hard,"The marketing team at Northern Trail Outfitters (NTO) is working to make newsletter emails more relevant to subscribers. The first step is to segment subscribers, so NTO is not sending a ""batch and blast"" newsletter. The second step is to personalize content based on the data that has been collected from subscribers. What are two ways NTO can continue to improve the relevance of its newsletter?",Use a substitution string to populate a subscriber’s name in the subject line. ,Change the color of the email background to match their subscribers’ preferred color of choice. ,Create content tailored to subscribers’ interests and use dynamics rules to populate relevant choice. ,Use a substitution string to populate a photo of the subscriber in the header of the email , ,CHECKBOX,Marketing Cloud
335, Easy,Northern Trail Outfitters (NTO) needs to use a point-and-click tool to test segmentation rules and verify that the correct subscribers are included in the segment. NTO will need to automate the refreshing of the segment once it is tested.Which two tools should be used to test and configure the segment?,Filter Activity ,Filtered Group ,Data Filter ,SQL Query Activity , ,CHECKBOX,Marketing Cloud
336, Easy,Northern Trail Outfitters just launched a new line of tents and sent a targeted email campaign to introduce the product to its customers. Where in Email Studio can the marketer see the performance summary of the recent email send?,Summary tab ,Job Links tab within Tracking ,Send Performance tab ,Overview tab within Tracking  , ,CHOICE,Marketing Cloud
337, Easy,A marketer at Northern Trail Outfitters must design a targeted email campaign for the company's new winter offerings. What email best practice should be used?,Use an infographic email template ,Personalize the email content  ,Send to the entire subscriber base ,Limit the email text to 250 words , ,CHOICE,Marketing Cloud
338, Easy,"Northern Trail Outfitters (NTO) is launching a custom, corporate-branded apparel website. They are concerned about the new initiative's campaign impacting deliverability on its consumer retail sends. NTO has purchased a second IP address to be used for the corporate site's email sending.What feature would the NTO administrator use to specify which IP address is used for retail vs. corporate?",Delivery Profile  ,Sender Profile ,Send Classification ,Send Definition , ,CHOICE,Marketing Cloud
339, Easy,Northern Trail Outfitters just sent an HTML email to subscribers that contains a link to the wrong landing page for a particular campaign. Which option minimizes the impact of this error?,Locate the job under Tracking and update the URL in the Job Links tab.  ,Have Support recall the email if it has not yet been opened by a subscriber. ,Send another email to the same subscribers containing the correct link. ,Update the link in the stored email content and it will be pulled in automatically. , ,CHOICE,Marketing Cloud
340, Easy,Northern Trail Outfitters (NTO) wants its email to render uniquely between mobile and desktop devices. NTO would like the emails to be responsive.Which two techniques could be used? Choose 2 answers.,Include @media query CSS in the email. ,Use inline CSS styling on all HTML elements. ,"Use a Basic, Empty, or Themed Template in Content Builder. ",Include style=”display:block” on all images , ,CHECKBOX,Marketing Cloud
341, Easy,"Northern Trail Outfitters has a list of Platinum member containing 50,000 subscribers and a Lifetime Member list containing 20,000 subscribers; 7,000 subscribers in the Lifetime Member list also exist in the Platinum Member list.An email was deployed to the Platinum members, but the marketing team would now like to send the same email to the Lifetime Member list.Which feature should be used when sending the second email to ensure that the 7,000 subscribers that exist on both lists don't receive the same email twice?",Exclusion List  ,Domain Exclusion List ,Exclusion Script ,Suppression List , ,CHOICE,Marketing Cloud
342, Easy,Northern Trail Outfitters (NTO) wants to ensure a good user experience when subscribers read their emails. What best practice should NTO employ?,Increase DPI and file size for image display. ,Keep total weight with images at 800KB or lower.  ,Use one file type for all images in the email. ,Rely on image-only emails to engage subscribers. , ,CHOICE,Marketing Cloud
343, Easy,A marketer is about to introduce Content Builder to the entire Northern Trail Outfitters' marketing team. Which three considerations should the marketing team keep in mind as they begin using Content Builder? Choose 3 answers.,Review permissions and roles for users accessing Content Builder. ,Focus on creating and importing content for one primary channel. ,Create a folder structure prior to importing assets. ,Establish a naming convention optimized for search. ,Import duplicate copies of content for different messages or groups. ,CHECKBOX,Marketing Cloud
344, Hard,A data administrator is creating a new data extension to store product catalog data. Character length limit is specified for each field.What are two benefits of ensuring field lengths are accurate? Choose 2 answers.,To optimize import process speed ,To save the data extension ,To determine the correct data type ,To ensure data integrity , ,CHECKBOX,Marketing Cloud
345, Easy,A marketer wants to use personalization strings to create individualized content for an upcoming send. What would the marketer need to know to understand how to use personalization strings? (Choose 3),Personalization strings are case sensitive ,Personalization strings are noted by two sets of double percent symbols ,"When using subscriber data, the attribute or field should have a default value ",Personalization strings are limited to profile attributes , ,CHECKBOX,Marketing Cloud
346, Easy,A marketing team would like to send an email to an audience on a weekly basis. The team receives multiple files each week that need to be imported and joined to build the target audience for the email. Which tool is recommended to execute this process?,Data extract activity ,Journey builder ,Filter activity ,Automation studio  , ,CHOICE,Marketing Cloud
347, Easy,A team wants to import a file with column names that do not match the fields into a data extension. What step is needed to align the file data to the field names in the data extension?,Map the attributes in the file  ,Select the delimiting character ,Name the new import definition ,Choose the appropriate date format , ,CHOICE,Marketing Cloud
348, Hard,A marketer wants to send the same email with the same send properties in several automation. Which activity should be created within Automation studio?,Triggered send ,Template send ,Automated send  ,Send email , ,CHOICE,Marketing Cloud
349, Easy,"A marketer sends a re-engagement email to contacts who have not opened or clicked emails in the last month. This email contains a call-to0action (CTA) prompting the recipient to ""Click here to keep receiving our emails."" In which two ways can the marketer determine who clicked on the CTA?Choose 2 answers",Select unique clicks on the overview tab in the inbox activity section ,Select the click activity bar chart from the email overlay view of the click activity tab ,Select the URL ID for the URL or tracking alias from the job links tab ,Select the URL or tracking alias from the link view tab of the click activity tab , ,CHECKBOX,Marketing Cloud
350, Easy,A marketer created dynamic content for an upcoming campaign that renders unique content based on subscriber attributes. The marketer would like to preview how each email will render for a given list of subscribers. How should the marketer proceed?,Create a user-initiated email to send to the list of subscribers ,"Using the subscriber preview tool, cycle through the list of subscribers  ",Select the “preview” tab within the classic content tool ,Use the test send tool to trigger copies of the email , ,CHOICE,Marketing Cloud
351, Easy,"A marketing team needs to narrow down a customer population of several million subscribers based on eCommerce order details, and rapidly explore the data to find appropriate segments.What tool should the marketing team use?",Audience builder  ,Profile attributes ,Filters ,Data extract activity , ,CHOICE,Marketing Cloud
352, Easy,NTO would like to improve email open rates to increase subscriber engagement and improve deliverability. What action should NTO take to increase open rates?,Include relevant preheader text in every email  ,Send earlier in the day to give subscribers more time to check emails ,"User images, not text, to improve email look and branding ","Add a clear, brief, and urgent call-to-action ", ,CHOICE,Marketing Cloud
353, Easy,"NTO branding guidelines require heavy use of imagery on its website, apps, emails, ads, etc. What are two ways that NTO can optimize its email design to honor branding guidelines and ensure subscribers are getting the best experience possible? Choose 2 answers",Add background colors that match branding ,Use custom corporate font to match NTO brand ,Make the email completely image based ,Style alt text for when images do no display automatically , ,CHECKBOX,Marketing Cloud
354, Easy,A marketer is completing send preview based on a pre-deployment checklist. What task is validated during the send preview?,Ensure subscribers have not unsubscribed or are undeliverable ,Ensure subscriber status at the time of send is Subscribed or Bounced ,Confirm that each content area specified in the dynamic content rule exists  ,Identify phrases like “Click here” or “Free!” that could be marked as spam , ,CHOICE,Marketing Cloud
355, Easy,A marketer would like to improve open rates for weekly email campaign. On which area of email design should the marketer focus?,Envelope content  ,Footer ,Email body ,Link Content , ,CHOICE,Marketing Cloud
356, Easy,The marketing team at a bank needs to receive a file of all subscribers who were sent payment reminder emails and opened them each week. The file needs to be encrypted and place on the bank's external SFTP.How should the scheduled automation be configured to achieve this?,Filter Activity > File Transfer Activity > Data Extract Activity ,SQL Query Activity > Data Extract Activity > File Transfer Activity  ,Data Extract Activity > SQL Query Activity > File Transfer Activity ,Filter Activity > SQL Query Activity > File Transfer Activity , ,CHOICE,Marketing Cloud
357, Easy,"Northern Trail Outfitters (NTO) would like to create a landing page that contains subscriber information passed to it from email links on the page. They use a Smart Capture form to capture email address, reply date, and response form subscribers.How should NTO set up its data extension?","Create a data extension with email address, reply date, and response fields as nullable. ",Create a data extension with email address as non-nullable; reply date and response fields as nullable. ,"Create a data extension with email address, reply date, and response fields as non-nullable.  ",Create a data extension with email address as the Primary Key and reply date and response fields as nullable. , ,CHOICE,Marketing Cloud
358, Easy,The IT department at Northern Trail Outfitters would like to receive email notifications once an automation has completed. How should the automation be configured?,Add a Send Email Activity to the end of the Automation workflow and configure it to send to a Subscriber list of IT staff.  ,Select and configure the Automation Studio Completion report from the Reports Catalog within the Reports application. ,Select the IT users from the Notification Settings panel on the Overview page in Automation Studio. ,Navigate to the Automation’s Activity tab and enter a comma delimited list of IT staff in the Run Completion field. , ,CHOICE,Marketing Cloud
359, Hard,"NTO has a small catalog of items featured in company emails. The NTO marketing team manages what images, copy, suggested items, and call-to-action are used with each item in this catalog within a database. This data is saved into a data extension in the Marketing Cloud and then called into the emails dynamically.Each time a change is made to the content, a new, updated file is dropped on NTO's FTP. A proof email is then sent to business stakeholders for final approval.Using automation studio, how can NTO ensure that the catalog stays up-to-date?",Create an API-driven process to put the data directly into the data extension when any data is changed. ,Create a file drop automation to import the file when placed on the specified directory on the Enhanced FTP ,Create a scheduled automation that runs every 15 minutes to import the file multiple times a day   ,"Create a scheduled automation to import the file, and send proof emails each morning when changes were detected  ", ,CHECKBOX,Marketing Cloud
360, Easy,Which segment can be manually refreshed under Actions? ,Filterd Group  ,Filtered Data Extension  ,Random Group   (Your Answer),Standard Data Extension populated by a Query   (Your Answer), ,CHECKBOX,Marketing Cloud
361, Easy,"A marketer would like website visitors to have the option to opt-into specific publications in order to receive email promotions, alongside this, the marketer would also like the website visitors to have access to their profile information in order to make changes? Which tool should be used?",Data Filter ,Subscriber Group ,Send Log ,Web Collect  , ,CHOICE,Marketing Cloud
362, Easy,A marketer would like to use personalization strings to create dynamic content in their emails. What three things should the marketer understand in order to most effectively utilise this functionality? (Choose 3),Personalization Strings are case sensitive ,Personalization Strings are noted by two sets of double percent symbols ,Personalization strings can appear in the subject line or body of the email ,"When using subscriber data, the attribute or field should have a default value ",Personalization strings are limited to profile attributes ,CHECKBOX,Marketing Cloud
363, Easy,Which tool is imperative when attempting to code responsive email designs?,CSS3 @media Queries  ,HTML Paste , Span Tags ,Anchor Tags , ,CHOICE,Marketing Cloud
364, Easy,A marketer would like to install the Salesforce Marketing Cloud Connector. Where can an installation guide be found?,Help and Training Portal ,AppExchange  ,Code.exacttarget.com ,Help.exacttarget.com , ,CHOICE,Marketing Cloud
365, Easy,A marketer wants to automate the overwrite process of the content within a data extension on a weekly basis. How would the marketer accomplish this task using automation studio?,Create an Import Activity and execute it every Friday ,Create an import activity using the Import Wizard in the Email Application ,Create an import using the Import Wizard in Automation Studio ,Create an Import Activity to use a workflow in Automation Studio  , ,CHOICE,Marketing Cloud
366, Easy,A marketer has just created a sendable data extension and has linked the Customer ID fields as the Subscriber Key to leverage a unique identifier. What will the send status in all subscribers be associated with?,The Subscriber ID in a System Data View Table ,The Customer_ID field in the Data Extension  ,The Email Address Profile Attribute ,The Email_Address field in the Data Extension , ,CHOICE,Marketing Cloud
367, Easy,A marketing team would like to leverage Smart Capture to acquire new subscribers. The marketing team would also like to send a follow-up welcome email. What action should the marketer take when configuring the smart capture form and how would they send the follow-up email? (Choose 2 answers),Add to Data Extension ,Add a new subscriber to a list ,Send the email via Triggered Send ,Refresh the data filter , ,CHECKBOX,Marketing Cloud
368, Easy,What is the optimal way to manage unsubscribes based on communication type granted that all subscribers are stored within a single master data extension?,"Create separate lists or data extensions for each communication type, and create a filter to segment subscribers into the applicable lists or data extensions ","Create suppression lists for each communication type, and associate the suppression list with the email in the user-initiated send definition ","Create a profile attribute or data extension field for each communication type, and use a boolean value to capture subscriber status ","Create publications list for each communication type, and associate the publication list with the email send in the user-initiated send definition  ", ,CHOICE,Marketing Cloud
369, Easy,A marketer wants to ensure that a first name and last name are always included when importing new subscribers into their master data extension. How can this task be accomplished?,Assign default values to the First and Last Name ,Import the Subscriber's data with personalization string in place of the First and Last Name  ,Ensure the Nullable property is unchecked for the First Name and Last Name columns  ,Make the First Name and Last name Columns Primary Keys , ,CHOICE,Marketing Cloud
370, Easy,A marketer would like to grow their subscriber base and acquire potential customers. How could the marketer accomplish this task?,Purchase a list of subscribers ,Require customers to provide an email address before accessing their website ,Promote content on social media channels that require an email address opt-in  ,Purchase a list of customers , ,CHOICE,Marketing Cloud
371, Easy,A marketer is currently cleaning a data extension of un-wanted data. The marketing manager has requested that the marketer places all the old un-wanted data in the same format into another data extension for archival. What is the first step to accomplishing this task?,Create a new data extension ,Create a data extension from existing  ,Export the data into a csv file ,Utilise the import Wizard to transfer the data over , ,CHOICE,Marketing Cloud
372, Easy,"A marketing team would like to configure an email send in order for the email to be used in an automated weekly campaign within automation studio, how would they accomplish this task?",Test Send ,User-Initiated  ,Guided Send ,Send Preview , ,CHOICE,Marketing Cloud
373, Hard,A marketing team needs to narrow down millions of data extension records based off of eCommerce order details in order to create and target appropriate segments. How can this most effectively be achieved?,Data Extract Activity ,Audience Builder ,Drag and Drop Segmentation  ,Profile Attributes , ,CHOICE,Marketing Cloud
374, Easy,Which feature would a marketer use to build a Send Classification? (Choose 2),Sender Profile ,Custom Profile ,Delivery Profile ,Reply Mail Profile , ,CHECKBOX,Marketing Cloud
375, Easy,A marketer is building a highly personalised email which would need a highly personalised audience. How would the marketer go about merging data from multiple data extensions into a single data extensions in order to exclude an undesired population and acquire a specified population?,File Triggers ,Data Filters ,Filter Activity ,Query Activity  , ,CHOICE,Marketing Cloud
376, Easy,"Which method of storing data allows for a company to store greater than 500,000 records, conduct data extension audience segmentation, as well as having the option to import data quickly?",Active Audiences ,Lists and Data Extensions ,Data Tables ,Data Extensions  , ,CHOICE,Marketing Cloud
377, Easy,"When using a mobile-optimized template, what causes the mobile layout to display? ",The email client detection tracking pixel ,A subscriber attribute that dictates a mobile layout preference ,The screen size of the device that is used to view the email  ,The specific device that is used to view the email , ,CHOICE,Marketing Cloud
378, Easy,"A marketer wants to ensure that the email addresses within their lists are valid, alongside this, the marketer will also like to make sure customers on a list are positive they want to be subscribers, how would a marketer go about accomplishing this task?","Send a welcome email to subscribers within 24 hours that includes a link to the Website, a link to the terms and conditions page, and a customer service number ",Configure Web Collect to return an error message for any email address that does not conform to standard conventions ,"Add new subscribers to an automated engagement campaign, and then send a series of welcome emails based on their opens and clicks ",Create a double opt-in campaign that requires subscribers to confirm their email address by clicking a link in an email they receive after subscribing via Web Collect  , ,CHOICE,Marketing Cloud
379, Easy,"A parent company utilised a Master Subscriber list in a shared data extension to store much of their subscriber's information. A subsidiary of the company has requested access of that list in order to market to a specific subset of subscribers. How would the marketer go about providing access to that business unit/subsidiary, but not the others?",Business unit access permissions ,Business unit access roles ,User roles and permissions ,Shared data extension permissions  , ,CHOICE,Marketing Cloud
380, Easy,What are three of the most important concepts in optimised email design? (Choose 3),Include an unsubscribe button ,Segment the email's target audience ,Build email templates with HTML Paste ,Included personalisation and dynamic content ,Ensure the email renders well on mobile apps ,CHECKBOX,Marketing Cloud
381, Easy,A marketing manager has requested an attribute named Gender be added to a subscriber list for promotional segmentation. Which two options are most important for the marketer to take in the configuration of the attribute? (Choose 2),Select the data types as Text ,Use binary numbers to identify genders ,Create restricted values ,Select the attribute as required , ,CHECKBOX,Marketing Cloud
382, Easy,Which type of content can an email content box contain? (Choose 3) ,Freelance ,A/B Testing ,Smart Capture ,Static ,Dynamic ,CHECKBOX,Marketing Cloud
383, Easy,"A marketer is sending an email to a data extension. Whilst configuring the data extension, the marketer linked the Customer ID field on the DE to the subscriber key in their All subscribers list. What will happen one the marketer sends the email to the DE?",The email will be sent to the Subscriber Key in All Subscribers ,The email will be sent to the email address stored on the Data Extension ,The email will be sent to the email address stored in All Subscribers if a customer ID field is found to match a subscriber Key  ,The email will be sent to the field marked as the Primary Key , ,CHOICE,Marketing Cloud
384, Easy,"A marketer is about to send an email to a list, however, they would like to only send the email to subscribers who live in Sydney - this data is stored in the 'region' attribute. Which tool would the marketer use to accomplish this task?",Guided Send ,Query Activity ,Drag and Drop Segmentation  ,Audience Builder , ,CHOICE,Marketing Cloud
385, Easy,Which method of storing subscriber information allows a marketer to easily create different subscriptions that subscribers can opt into from the default Subscription Center?,Data Extensions ,Active Audiences ,Lists  ,Lists and Data Extensions , ,CHOICE,Marketing Cloud
386, Easy,A marketing practice would like to create mobile friendly emails. The company has the resources to write the HTML and CSS Code needed to create responsively designed emails. Which option would add the code that was created outside of the Salesforce Marketing Cloud to the email?,Web Paste ,Text only ,Template Based ,HTML Paste  , ,CHOICE,Marketing Cloud
387, Easy,"Which metric is the measure of emails rejected by a server due to permanent conditions such as ""user unknown"" or ""domain not found""? ",Hard Bounce  ,Soft Bounce , Unsubscribe ,Validation Error , ,CHOICE,Marketing Cloud
388, Easy,What can be used to join two data extensions to segment via Drag and Drop Segmentation?,Send Relationship ,Data Relationship  ,Subscriber ID ,Subscriber Key , ,CHOICE,Marketing Cloud
389, Easy,What type of email send configuration should be used when sending email order confirmations?,Test Send ,Guided Send ,Triggered Email  ,User-Initiated Email , ,CHOICE,Marketing Cloud
390, Easy,What is a triggered automation?,An automation that triggers an email to be sent based on a user Initiated Email definition ,An automation that is initiated when a file is dropped into a designated Enhanced FTP Folder  ,An automation that is triggered based on a schedule that has been defined ,An automation that is initiated when a designated value in a data extension is changed , ,CHOICE,Marketing Cloud
391, Easy,Which tool should a marketing team be leveraging when attempting to capture website visitors information and providing them with the option to make updates to their profiles and publication preferences?,Web Collect  ,Send Log ,Subscriber Group ,Data Filter , ,CHOICE,Marketing Cloud
392, Easy,A marketing associate at Northern Trail Outfitters must design an email campaign for the company's new winter offerings. Which email design best practice would the associate implement in this campaign?,Segment the audience for the email ,Limit the email text to 250 words ,Use an infographic email template ,Personalize the email content  , ,CHOICE,Marketing Cloud
393, Easy,A marketer is attempting to write an effect subject line for an upcoming email send. What are two things the marketer can do to increase the effective of the subject line? (Choose 2),A/B test the effectiveness of different subjects ,Include information relevant to the message in the subject line ,"Include ""RE:"", ""FWD:"", ""ETC"". to get reader's attention ",Keep the subject text between 50 to 100 characters long , ,CHECKBOX,Marketing Cloud
394, Easy,Which three statements are true features/purposes for leveraging Subscriber Key? (Choose 3 answers),Subscriber Key and Primary Key are interchangeable terms ,"Subscriber Key is a unique identifier for a subscriber, and can be populated with an email address or another unique value ",Subscriber Key is mapped to a field in a sendable data extension when defining a Send Relationship ,Subscriber Key determines what update types will be available when  importing data ,Subscriber Key allows an email address to appear multiple times in a list or All Subscribers when populated with a value other than an email address ,CHECKBOX,Marketing Cloud
395, Easy,What benefit is there in marking an attribute as hidden from customers?,The attribute is not available for CAN-SPAM compliance ,The attribute is not available to subscribers on the Profile Center  ,The attribute is not available to store data ,The attribute is not available to other users in the account , ,CHOICE,Marketing Cloud
396, Easy,"A marketing team needs to ensure that ""Valued Customer"" appears in place of their %%First Name%% personalisation string incase no data exists for that subscriber within the data extension. How can the marketer accomplish this task?","Make ""Valued Customer"" the Default Value for the First_Name field  ","Fill in the source data with ""Valued Customer"" for each blank First_Name field ",Mark First_Name as the Primary Key ,Ensure the Nullable box is not checked for the First_Name field , ,CHOICE,Marketing Cloud
397, Easy,A marketing team would like the From Name of a monthly promotional email send to be mapped to a specific marketing cloud user. Which feature would allow them to accomplish this task?,CAN-SPAM classification ,Delivery Profile ,Content information ,Sender Profile  , ,CHOICE,Marketing Cloud
398, Easy,"A marketer is importing a batch of new subscribers obtained from a campaign to the same data extension they've been using to collect subscriber info, how can the marketer ensure only new records are added? (Choose 2)",Select the update type Overwrite ,Select the update type Add Only ,Select the update type Add and Update ,Ensure that the data extension contains a primary key , ,CHECKBOX,Marketing Cloud
399, Easy,Northern Train Outfitters wants to grow its email subscriber list. Which best practice can the company use to increase the number of subscribers? (Choose 2),Offer email opt-in when customer create an account ,Capture email addresses through the use of browser cookies ,Use incentives such as a discount or free shipping to encourage opt-in ,Send emails to a purchased list with a request to opt-in , ,CHECKBOX,Marketing Cloud
400, Easy,"Northern Train Outfitters sends email order confirmations to customers who have made online purchases. These emails must follow the ""Transactional"" CAN-SPAM classification requirements. Which feature would a marketer use to classify a send under this CAN-SPAM classification?",Send Definition ,Delivery Profile ,Send Classification  ,Sender Profile , ,CHOICE,Marketing Cloud
401, Easy,What is a function of the Content Detective tool?,It helps display content in a content box ,It helps guarantee placement of emails into the inbox ,It helps track customer traffic generated by content areas within an email ,It helps identify spam triggers in email content and subject lines  , ,CHOICE,Marketing Cloud
402, Hard,Which send configuration within email studio can leverage sender profiles? (Choose 3 answers),Test Sends ,Guided Sends ,Triggered Sends ,User-Initiated Sends ,Simple Automated Sends ,CHECKBOX,Marketing Cloud
403, Easy,A marketer is attempting to design an email which is best suited for mobile devices.Which three methods should the marketer employ to accomplish this task? (Choose 3),Place the most important content at the top of the email ,Cut down on content ,Keep content simple and direct ,Utilise a two-column design ,Utilise a single column design ,CHECKBOX,Marketing Cloud
404, Easy,A marketer needs to share specific report results with their manager. Which three methods can be used to share the report? (Choose 3),Email the report to their manager ,Ping the report to their manager via a pop up on their screen ,Print the report and hand in a hard-copy ,Save the report to an FTP folder ,Send a snapshot of the report ,CHECKBOX,Marketing Cloud
405, Easy,A marketer would like to send an email to subscribers on a subscriber list who live within a 5km of Sydney CBD. Which tool would the marketer use to accomplish this task?,Query Activity ,Data Filter ,Audience Builder  ,Send Classification , ,CHOICE,Marketing Cloud
406, Easy,"A new data extension named ""Orders"" contains order data. One row is recorded for each customer's order. Customers can place multiple orders. The data extension Orders relates to other data extensions. The data extension Orders contains the following fields:OrderNumber: a unique alphanumeric order numbercustomerID: a numeric customer identification numberOrderDate: the system date and time for the orderInstructions: an optional alphanumeric string that contains customer delivery notes. Which statement accurately reflects the configuration of the Orders Data Extension? ",All fields in the data extension are nullable ,The  OrderNumber field will be a Number data type field ,CustomerID will be used as the Primary Key ,OrderNumber will be used as the Primary Key  , ,CHOICE,Marketing Cloud
407, Easy,Northern Train Outfitters wants to display different content areas based on the subscriber data. What can be used to accomplish this? (Choose 2),Personalization Strings ,Profile Mapping ,Dynamic Content ,AMPscript , ,CHECKBOX,Marketing Cloud
